"","SetName","Gene","Gene_AlternativeName","Gene_Signature"
"404","S5","ACTL6A","ACTL6A","ACTL6A_S5"
"53","S2","ADAM9","ADAM9","ADAM9_S2"
"416","S5","ADAMTS1","ADAMTS1","ADAMTS1_S5"
"124","S3","ADCY7","ADCY7","ADCY7_S3"
"243","S5","AIMP2","AIMP2","AIMP2_S5"
"280","S5","ALKBH7","ALKBH7","ALKBH7_S5"
"205","S3","ALOX5AP","ALOX5AP","ALOX5AP_S3"
"167","S3","AMPD3","AMPD3","AMPD3_S3"
"380","S5","APITD1","APITD1","APITD1_S5"
"209","S3","APOC1","APOC1","APOC1_S3"
"208","S3","APOE","APOE","APOE_S3"
"373","S5","APOO","APOO","APOO_S5"
"126","S3","ARHGAP15","ARHGAP15","ARHGAP15_S3"
"56","S2","ARHGAP1","ARHGAP1","ARHGAP1_S2"
"59","S2","ARHGDIA","ARHGDIA","ARHGDIA_S2"
"127","S3","ARRB2","ARRB2","ARRB2_S3"
"184","S3","B2M","B2M","B2M_S3"
"261","S5","BCCIP","BCCIP","BCCIP_S5"
"342","S5","BRCA2","BRCA2","BRCA2_S5"
"277","S5","BRIP1","BRIP1","BRIP1_S5"
"91","S2","BSG","BSG","BSG_S2"
"129","S3","BTK","BTK","BTK_S3"
"289","S5","C11orf24","C11orf24","C11orf24_S5"
"364","S5","C12orf24","C12orf24","C12orf24_S5"
"159","S3","C13orf18","C13orf18","C13orf18_S3"
"413","S5","SPRYD7","C13orf1","C13orf1_S5"
"270","S5","C13orf27","C13orf27","C13orf27_S5"
"325","S5","C16orf61","C16orf61","C16orf61_S5"
"307","S5","C19orf48","C19orf48","C19orf48_S5"
"212","S3","C1orf54","C1orf54","C1orf54_S3"
"202","S3","C3AR1","C3AR1","C3AR1_S3"
"422","S5","C3orf26","C3orf26","C3orf26_S5"
"177","S3","CASP1","CASP1","CASP1_S3"
"407","S5","CBX1","CBX1","CBX1_S5"
"259","S5","CCBL2","CCBL2","CCBL2_S5"
"144","S3","CCL2","CCL2","CCL2_S3"
"196","S3","CCL5","CCL5","CCL5_S3"
"107","S3","CCRL2","CCRL2","CCRL2_S3"
"328","S5","CCT5","CCT5","CCT5_S5"
"228","S4","CD14","CD14","CD14_S4"
"142","S3","CD163","CD163","CD163_S3"
"216","S4","CD19","CD19","CD19_S4"
"221","S4","CD3Z","CD247","CD247_S4"
"179","S3","CD33","CD33","CD33_S3"
"217","S4","CD37","CD37","CD37_S4"
"218","S4","CD3D","CD3D","CD3D_S4"
"219","S4","CD3E","CD3E","CD3E_S4"
"220","S4","CD3G","CD3G","CD3G_S4"
"69","S2","CD44","CD44","CD44_S2"
"125","S3","CD48","CD48","CD48_S3"
"210","S3","CD52","CD52","CD52_S3"
"148","S3","CD53","CD53","CD53_S3"
"86","S2","CD59","CD59","CD59_S2"
"222","S4","CD79A","CD79A","CD79A_S4"
"223","S4","CD79B","CD79B","CD79B_S4"
"147","S3","CD84","CD84","CD84_S3"
"149","S3","CD86","CD86","CD86_S3"
"164","S3","CD8A","CD8A","CD8A_S3"
"224","S4","CD8B1","CD8B","CD8B_S4"
"143","S3","CD97","CD97","CD97_S3"
"356","S5","CDCA4","CDCA4","CDCA4_S5"
"51","S2","CDH6","CDH6","CDH6_S2"
"321","S5","CDK2","CDK2","CDK2_S5"
"169","S3","CECR1","CECR1","CECR1_S3"
"207","S3","CUGBP2","CELF2","CELF2_S3"
"411","S5","CENPJ","CENPJ","CENPJ_S5"
"288","S5","CENPN","CENPN","CENPN_S5"
"247","S5","CENPO","CENPO","CENPO_S5"
"294","S5","CENPW","CENPW","CENPW_S5"
"232","S5","CEP78","CEP78","CEP78_S5"
"244","S5","CHEK1","CHEK1","CHEK1_S5"
"361","S5","CKLF","CKLF","CKLF_S5"
"44","S2","COL16A1","COL16A1","COL16A1_S2"
"93","S2","COL1A2","COL1A2","COL1A2_S2"
"50","S2","COL3A1","COL3A1","COL3A1_S2"
"103","S2","COL6A1","COL6A1","COL6A1_S2"
"89","S2","COL6A3","COL6A3","COL6A3_S2"
"75","S2","COL8A1","COL8A1","COL8A1_S2"
"434","S5","COPS6","COPS6","COPS6_S5"
"427","S5","COQ2","COQ2","COQ2_S5"
"105","S3","CORO1A","CORO1A","CORO1A_S3"
"335","S5","CORO1C","CORO1C","CORO1C_S5"
"412","S5","COTL1","COTL1","COTL1_S5"
"260","S5","COX17","COX17","COX17_S5"
"423","S5","CPEB4","CPEB4","CPEB4_S5"
"157","S3","CPVL","CPVL","CPVL_S3"
"206","S3","CSF1R","CSF1R","CSF1R_S3"
"62","S2","CTNNA1","CTNNA1","CTNNA1_S2"
"40","S2","CTNNB1","CTNNB1","CTNNB1_S2"
"113","S3","CTSC","CTSC","CTSC_S3"
"151","S3","CTSL","CTSL1","CTSL1_S3"
"116","S3","CTSS","CTSS","CTSS_S3"
"9","S1","CXCL10","CXCL10","CXCL10_S1"
"154","S3","CXCR4","CXCR4","CXCR4_S3"
"119","S3","CYBB","CYBB","CYBB_S3"
"115","S3","PSCDBP","CYTIP","CYTIP_S3"
"204","S3","DAPK1","DAPK1","DAPK1_S3"
"301","S5","DBNDD1","DBNDD1","DBNDD1_S5"
"429","S5","DCBLD2","DCBLD2","DCBLD2_S5"
"279","S5","DCK","DCK","DCK_S5"
"420","S5","DCLRE1B","DCLRE1B","DCLRE1B_S5"
"3","S1","DDX58","DDX58","DDX58_S1"
"17","S1","DDX60","DDX60","DDX60_S1"
"317","S5","DHFR","DHFR","DHFR_S5"
"405","S5","DLEU1","DLEU1","DLEU1_S5"
"257","S5","DLEU2","DLEU2","DLEU2_S5"
"121","S3","DOCK2","DOCK2","DOCK2_S3"
"54","S2","DSP","DSP","DSP_S2"
"435","S5","DUT","DUT","DUT_S5"
"100","S2","DVL1","DVL1","DVL1_S2"
"87","S2","DVL3","DVL3","DVL3_S2"
"324","S5","DYNLT1","DYNLT1","DYNLT1_S5"
"269","S5","EBNA1BP2","EBNA1BP2","EBNA1BP2_S5"
"66","S2","EFNA5","EFNA5","EFNA5_S2"
"293","S5","EIF2AK1","EIF2AK1","EIF2AK1_S5"
"440","S5","EIF4EBP1","EIF4EBP1","EIF4EBP1_S5"
"311","S5","EIF4G1","EIF4G1","EIF4G1_S5"
"395","S5","EMP2","EMP2","EMP2_S5"
"382","S5","ENO1","ENO1","ENO1_S5"
"45","S2","EPHA2","EPHA2","EPHA2_S2"
"43","S2","EPHB2","EPHB2","EPHB2_S2"
"68","S2","EPHB3","EPHB3","EPHB3_S2"
"79","S2","EPHB4","EPHB4","EPHB4_S2"
"336","S5","ERLIN1","ERLIN1","ERLIN1_S5"
"152","S3","EVI2A","EVI2A","EVI2A_S3"
"123","S3","EVI2B","EVI2B","EVI2B_S3"
"246","S5","EXOSC8","EXOSC8","EXOSC8_S5"
"363","S5","EZR","EZR","EZR_S5"
"276","S5","F3","F3","F3_S5"
"349","S5","FAM167A","FAM167A","FAM167A_S5"
