,SetName,Gene
1,Angiogenesis,CDH5
2,Angiogenesis,ELTD1
3,Angiogenesis,CLEC14A
4,Angiogenesis,LDB2
5,Angiogenesis,ECSCR
6,Angiogenesis,MYCT1
7,Angiogenesis,RHOJ
8,Angiogenesis,VWF
9,Angiogenesis,TIE1
10,Angiogenesis,KDR
11,Angiogenesis,ESAM
12,Angiogenesis,PTPRB
13,Angiogenesis,GPR116
14,Angiogenesis,SPARCL1
15,Angiogenesis,EMCN
16,Angiogenesis,ROBO4
17,Angiogenesis,ENG
18,Angiogenesis,TEK
19,Angiogenesis,S1PR1
20,Angiogenesis,A2M
21,Angiogenesis,JAM2
22,Angiogenesis,COL15A1
23,Angiogenesis,PECAM1
24,Angiogenesis,CALCRL
25,Angiogenesis,CLEC3B
26,Angiogenesis,PLVAP
27,Angiogenesis,RGS5
28,Angiogenesis,LRRC32
29,Angiogenesis,EBF1
30,Angiogenesis,ADCY4
31,Angiogenesis,ACVRL1
32,Angiogenesis,GPR124
33,Angiogenesis,APLNR
34,Angiogenesis,TM4SF18
35,Angiogenesis,GNG11
36,Angiogenesis,CNRIP1
37,Angiogenesis,ZNF423
38,Angiogenesis,GIMAP8
39,Angiogenesis,PDGFD
40,Angiogenesis,ITGA9
41,Angiogenesis,EDNRB
42,APM1,HLA-A
43,APM1,HLA-B
44,APM1,HLA-C
45,APM1,TAP1
46,APM1,TAP2
47,APM1,TAPBP
48,APM1,B2M
49,APM2,HLA-DMA
50,APM2,HLA-DMB
51,APM2,HLA-DOA
52,APM2,HLA-DOB
53,APM2,HLA-DPA1
54,APM2,HLA-DPB1
55,APM2,HLA-DPB2
56,APM2,HLA-DQA1
57,APM2,HLA-DQA2
58,APM2,HLA-DQB1
59,APM2,HLA-DQB2
60,APM2,HLA-DRA
61,APM2,HLA-DRB1
62,APM2,HLA-DRB5
63,APM2,HLA-DRB6
64,ICS5_score,CXCL13
65,ICS5_score,CLIC5
66,ICS5_score,HLA-F
67,ICS5_score,TNFRSF17
68,ICS5_score,XCL2
69,LIexpression_score,CCL5
70,LIexpression_score,CD19
71,LIexpression_score,CD37
72,LIexpression_score,CD3D
73,LIexpression_score,CD3E
74,LIexpression_score,CD3G
75,LIexpression_score,CD3Z
76,LIexpression_score,CD79A
77,LIexpression_score,CD79B
78,LIexpression_score,CD8A
79,LIexpression_score,CD8B1
80,LIexpression_score,IGHG3
81,LIexpression_score,IGJ
82,LIexpression_score,IGLC1
83,LIexpression_score,CD14
84,LIexpression_score,LCK
85,LIexpression_score,LTB
86,LIexpression_score,MS4A1
87,Chemokine12_score,CCL2
88,Chemokine12_score,CCL3
89,Chemokine12_score,CCL4
90,Chemokine12_score,CCL5
91,Chemokine12_score,CCL8
92,Chemokine12_score,CCL18
93,Chemokine12_score,CCL19
94,Chemokine12_score,CCL21
95,Chemokine12_score,CXCL9
96,Chemokine12_score,CXCL10
97,Chemokine12_score,CXCL11
98,Chemokine12_score,CXCL13
99,NHI_5gene_score,IGK@
100,NHI_5gene_score,GBP1
101,NHI_5gene_score,STAT1
102,NHI_5gene_score,IGLL5
103,NHI_5gene_score,OCLN
104,CD68,CD68
105,CD8A,CD8A
106,PD1_data,PDCD1
107,PDL1_data,CD274
