Source,SetName
Senbabaoglu,Angiogenesis
Senbabaoglu,APM1
Senbabaoglu,APM2
Wolf,ICS5_score
Wolf,LIexpression_score
Wolf,Chemokine12_score
Wolf,NHI_5gene_score
Wolf,CD68
Wolf,CD8A
Wolf,PD1_data
Wolf,PDL1_data
Wolf,PD1_PDL1_score
Wolf,CTLA4_data
Wolf,Bcell_mg_IGJ
Wolf,Bcell_receptors_score
Wolf,STAT1_score
Wolf,CSF1_response
Wolf,TcClassII_score
Wolf,IL12_score_21050467
Wolf,IL4_score_21050467
Wolf,IL2_score_21050467
Wolf,IL13_score_21050467
Wolf,IFNG_score_21050467
Wolf,TGFB_score_21050467
Wolf,TREM1_data
Wolf,DAP12_data
Wolf,Tcell_receptors_score
Wolf,IL8_21978456
Wolf,IFN_21978456
Wolf,MHC1_21978456
Wolf,MHC2_21978456
Wolf,Bcell_21978456
Wolf,Tcell_21978456
Wolf,CD103pos_mean_25446897
Wolf,CD103neg_mean_25446897
Wolf,IgG_19272155
Wolf,Interferon_19272155
Wolf,LCK_19272155
Wolf,MHC.I_19272155
Wolf,MHC.II_19272155
Wolf,STAT1_19272155
Wolf,Troester_WoundSig_19887484
Wolf,MDACC.FNA.1_20805453
Wolf,IGG_Cluster_21214954
Wolf,Minterferon_Cluster_21214954
Wolf,Immune_cell_Cluster_21214954
Wolf,MCD3_CD8_21214954
Wolf,Interferon_Cluster_21214954
Wolf,B_cell_PCA_16704732
Wolf,CD8_PCA_16704732
Wolf,GRANS_PCA_16704732
Wolf,LYMPHS_PCA_16704732
Wolf,T_cell_PCA_16704732
Wolf,TGFB_PCA_17349583
Wolf,Rotterdam_ERneg_PCA_15721472
Wolf,HER2_Immune_PCA_18006808
Wolf,IR7_score
Wolf,Buck14_score
Wolf,TAMsurr_score
Wolf,Immune_NSCLC_score
Wolf,Module3_IFN_score
Wolf,Module4_TcellBcell_score
Wolf,Module5_TcellBcell_score
Wolf,Module11_Prolif_score
Wolf,GP11_Immune_IFN
Wolf,GP2_ImmuneTcellBcell_score
Wolf,CD8_CD68_ratio
Wolf,TAMsurr_TcClassII_ratio
Wolf,CHANG_CORE_SERUM_RESPONSE_UP
Wolf,CSR_Activated_15701700
Wolf,CD103pos_CD103neg_ratio_25446897
Attractors,LYM
Attractors,IFIT3
Attractors,G_GIMAP4
Attractors,G_HLA.DPA1
Attractors,G_SLAMF6
Attractors,G_LILRB4
Attractors,G_SIGLEC9
Attractors,G_CYTH4
Attractors,G_CD3E
ICR,ICR_SCORE
ICR,ICR_INHIB_SCORE
ICR,ICR_ACT_SCORE
